Id,SalePrice
1461,122908.64937967854
1462,154515.47398281086
1463,180824.21811409242
1464,197061.0229973615
1465,198216.51021831506
1466,170638.4494180015
1467,176122.70358242624
1468,169087.28299478046
1469,188161.3485020288
1470,123915.39805440558
1471,182208.8164885207
1472,98957.34997004739
1473,96954.24430101312
1474,145387.47157167527
1475,118467.6679844272
1476,375491.3222221334
1477,247420.99621091745
1478,314213.4634982422
1479,321424.4605594289
1480,500672.60167433217
1481,330987.18411792384
1482,224303.79815931746
1483,169058.495812956
1484,174158.21772011713
1485,192407.1252878316
1486,192755.35655872553
1487,327419.64452700084
1488,232321.8007836937
1489,193919.48594787673
1490,218967.80686344684
1491,193221.22104927438
1492,90195.51755619107
1493,194815.7697654224
1494,275662.38456181966
1495,280049.71980515926
1496,232634.73428965104
1497,173521.56083320506
1498,173963.39895840164
1499,166031.57441983247
1500,159384.92584648807
1501,170802.2370044146
1502,153251.07406731602
1503,275900.3712818542
1504,236809.92751897115
1505,223373.25452775185
1506,189621.04803472222
1507,237334.4050114319
1508,200105.1608984165
1509,168269.91443646932
1510,143382.10389668227
1511,143382.28351466678
1512,162564.1606141912
1513,154520.90433765907
1514,137105.20268129365
1515,207585.29243463327
1516,149499.0417570499
1517,155766.34023243433
1518,130637.12595954075
1519,206022.47543339606
1520,131740.78611749358
1521,132695.07495163515
1522,168825.5649790698
1523,112289.32799734754
1524,125431.22159193835
1525,119883.71543563352
1526,110196.22712504938
1527,104550.08247421298
1528,136920.2055023829
1529,149019.899389825
1530,186503.95720361685
1531,112603.92243276307
1532,102785.03123008
1533,140446.58427268063
1534,119227.7240339187
1535,156011.26293070058
1536,114290.16032533789
1537,68107.779374067
1538,138563.1739572875
1539,182843.62505669473
1540,85131.59829718215
1541,150659.88797977177
1542,146316.03879056356
1543,199334.42445941415
1544,79387.0136997968
1545,107829.69029879302
1546,140163.97543492896
1547,138832.3513701209
1548,135202.5935713141
1549,118009.21153259967
1550,136466.88338870043
1551,103793.58226585053
1552,136092.0490952711
1553,141498.09563016513
1554,115845.69894147918
1555,172689.23920304788
1556,90168.03505775172
1557,98996.91208617217
1558,98371.53429568309
1559,89295.47083912561
1560,139691.42505079933
1561,110862.71877165532
1562,132109.45390761163
1563,121322.32888841248
1564,154846.40161445976
1565,148270.83309047518
1566,243187.52860558277
1567,78865.39521135915
1568,227483.4241748458
1569,127078.93602375916
